Title,O*NET-SOC Code,Reading Comprehension - IM,Reading Comprehension - LV,Active Listening - IM,Active Listening - LV,Writing - IM,Writing - LV,Speaking - IM,Speaking - LV,Mathematics - IM,Mathematics - LV,Science - IM,Science - LV,Critical Thinking - IM,Critical Thinking - LV,Active Learning - IM,Active Learning- LV,Learning Strategies - IM,Learning Strategies- LV,Monitoring - IM,Monitoring - LV,Social Perceptiveness - IM,Social Perceptiveness - LV,Coordination - IM,Coordination - LV,Persuasion - IM,Persuasion - LV,Negotiation - IM,Negotiation - LV,Instructing - IM,Instructing - LV,Service Orientation - IM,Service Orientation - LV,Complex Problem Solving - IM,Complex Problem Solving - LV,Operations Analysis - IM,Operations Analysis - LV,Technology Design - IM,Technology Design - LV,Equipment Selection - IM,Equipment Selection - LV,Installation - IM,Installation - LV,Programming - IM,Programming - LV,Operations Monitoring - IM,Operations Monitoring - LV,Operation and Control - IM,Operation and Control  - LV,Equipment Maintenance - IM,Equipment Maintenance - LV,Troubleshooting - IM,Troubleshooting - LV,Repairing - IM,Repairing - LV,Quality Control Analysis - IM,Quality Control Analysis - LV,Judgment and Decision Making - IM,Judgment and Decision Making - LV,Systems Analysis - IM,Systems Analysis - LV,Systems Evaluation - IM,Systems Evaluation - LV,Time Management - IM,Time Management - LV,Management of Financial Resources - IM,Management of Financial Resources - LV,Management of Material Resources - IM,Management of Material Resources - LV,Management of Personnel Resources - IM,Management of Personnel Resources - LV
Avionics Technicians,49-2091.00,3.25,3.5,3.38,3.25,3.25,3.12,3.38,3,2.12,2.12,2.88,2.88,3.75,3.75,3,3.12,2.62,2.62,3.12,3.25,2.88,3,3,3.12,2.88,2.75,2.38,2.25,2.88,2.88,2.75,2.62,3.5,3.5,2.25,2.12,1.88,1.12,3,3,2.75,2.88,1.62,0.88,3.75,3.62,2.5,2.5,3.88,4,3.88,4,3.88,4,3.75,3.62,3.25,3.25,3,3.12,2.88,3.12,3.12,3.25,1.5,0.62,1.75,1.12,2.62,2.62
"Electric Motor, Power Tool, and Related Repairers",49-2092.00,3,3,3.12,3,2.88,2.75,3,3,2.62,2.75,2.12,2.12,3.75,3.38,2.88,3.12,2.75,2.75,2.88,3.12,2.75,2.75,2.88,2.88,2.5,2.38,2.25,1.75,2.5,2.88,2.75,2.75,3.62,3,1.62,1.25,1.75,1.25,3.75,3,3,2.88,1.75,0.88,3.5,3.38,3.25,3,3.88,3.75,3.88,3.88,4.12,4,3.75,3.62,3.12,3,3,2.88,2.75,2.75,2.88,2.88,1.88,1.75,2.12,1.75,2.38,2.25
"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093.00,3.12,3.12,3.38,3,3,3,3,3,2.12,2.25,2.12,2.25,3.62,3,2.25,2.38,2.12,2.25,3.12,3,3,3,3,3,2.88,2.75,2.25,2.12,2.12,2.5,2.25,2.25,3.12,3,2.12,1.62,2,1.38,2.62,2.25,2.75,2.38,1.62,0.75,3.25,3.12,3,2.5,3,3,3,3.25,3.12,3.12,3.25,3.25,3,2.88,2.25,2.25,2.25,2.38,3,3.12,2,1.12,2,1,2.25,2.25
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094.00,3.12,4,3.12,3.62,3,3,3.12,3.12,2.75,2.88,2.75,2.75,3.75,3.75,3,3,2.88,3,3.12,3.12,3,3,2.88,3,2.88,2.88,2.25,2.62,2.88,2.88,2.88,2.88,3.25,3.88,2.12,2.12,2.12,2.38,3.12,3.25,2.88,2.75,2.12,2.12,3.88,3.88,3,3.5,3.75,3.75,3.75,3.88,3.88,3.88,3.75,3.88,3.25,3,3,3.25,2.88,3,3,3,2,1.62,2,1.62,2.5,2.62
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095.00,3.38,3.5,3.12,3.12,2.88,3,3.12,2.88,2.25,2.38,2.62,2.38,3.75,3.38,2.88,3,2.25,2.25,3,3,2.62,2.75,2.88,3,2.38,2.12,2.5,2.25,2.75,2.88,2.88,2.75,3.12,3,2.12,2.25,1.88,1,2.88,2.25,1.62,0.75,1.88,1.12,3.25,3.25,2.88,3.12,3.62,4,3.5,4,3.62,4,3.25,3.25,3,3,3,3,2.75,3,3,3,2,1.5,2,1.62,2.75,2.75
"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096.00,3.12,3.12,3.38,3,2.88,2.88,3,3,2.25,2.25,1.88,1.5,3.5,3.12,2.75,2.38,2.5,2.25,2.88,2.88,2.88,2.88,3,3,2.75,2.38,2.75,2.5,2.62,2.38,3,2.88,3.12,3,1.88,1.75,2.12,1.38,3,2.75,3.25,3,1.88,1.12,3.5,3,2.88,3,3.25,2.88,3.62,3.62,3.62,3.62,3,3,2.88,2.88,2.38,2.25,2.25,2.38,3.12,3,2.12,1.25,2,1.12,2.12,2.12
Audiovisual Equipment Installers and Repairers,49-2097.00,3.12,3.25,3.12,3.25,2.75,2.75,3.38,3.12,2.25,2.25,1.75,1.38,3.12,3.5,2.88,3,2.62,2.75,2.88,2.88,2.75,2.5,2.88,2.62,2.5,2.38,2.12,2,2.75,2.75,3,3,3.38,3.12,1.88,1.5,1.75,1,3,2.88,3.38,3.25,1.62,1.25,3.12,3,2.88,2.62,3.38,3,3.62,3.5,3.62,3.38,3.62,3.5,3.25,2.88,2.88,2.88,2.75,2.75,3,2.88,1.88,1.38,2.12,1.75,2.38,2.38
Security and Fire Alarm Systems Installers,49-2098.00,3.12,3.25,3.25,3.12,2.88,2.88,3.38,3,2.12,2.12,1.75,1.25,3.38,3.5,2.88,3,2.38,2.38,3,3.12,2.88,2.88,2.88,2.88,2.12,1.88,2,1.88,2.62,2.62,2.88,2.88,3.12,3,1.88,1.75,1.88,0.88,2.25,2,3.38,3.12,1.75,0.88,3.12,2.88,2.88,2.75,2.75,2.62,3,3.25,3,2.75,3.12,3.12,3.12,3,2.62,2.5,2.62,2.5,3,2.88,1.75,0.75,1.88,1,2.12,2
Aircraft Mechanics and Service Technicians,49-3011.00,3.75,4,3.25,3.38,2.88,3,3.38,3.25,2.25,2.25,2.5,2.62,3.88,4,3,3.12,2.62,2.88,3.38,3.12,3,3,3,3,2.88,2.75,2.38,2.12,3,3,3,2.88,3.88,3.88,2.12,2.12,2,1.25,3.25,3,2.38,2.12,1.5,0.5,4.12,4,3.38,3.25,4.25,4.75,4.12,4,4.25,4.25,3.88,3.88,3.25,3.38,3.12,3.25,3,3.25,3,3,1.5,0.62,2.12,1.88,2.62,2.25
Automotive Body and Related Repairers,49-3021.00,2.88,2.88,3,3,2.38,2.12,3,2.75,2.12,2,1.25,0.25,3,3,2.88,2.25,2.25,2.12,3,2.88,2.88,2.88,2.88,2.88,2.62,2.25,2.25,2.12,2.25,2.62,2.88,2.75,2.88,3,2,1.62,1.88,1,2.75,2.5,2,1.75,1.75,0.75,3,2.88,2.88,3,2.62,2.75,3.12,3,3.25,3.25,3,3,2.88,2.75,2.12,2.25,2.12,2.25,3,2.75,1.88,1.38,1.88,1.75,2.12,2.25
Automotive Glass Installers and Repairers,49-3022.00,2.5,2.5,2.88,2.75,2.38,2.38,3,2.62,2,1.75,1.5,0.5,2.88,2.75,2.62,2.38,2.38,2.12,2.88,2.62,2.88,2.62,2.75,2.5,2.38,2.12,2.38,2,2.38,2.25,2.88,2.62,2.75,2.5,1.75,1.12,1.62,0.62,3,2.38,3.12,2.75,1.12,0.12,2.75,2.62,2.75,2.62,2.12,1.75,2.25,1.88,2.38,2,2.75,2.75,2.75,2.38,2.12,1.88,2,1.88,2.88,3,1.38,0.5,1.75,1,2,1.88
Automotive Service Technicians and Mechanics,49-3023.00,2.88,2.62,3.25,2.75,2.75,2.38,3.12,2.75,2.25,2.12,1.5,0.88,3.5,3.5,2.75,2.62,2.62,2.62,3.25,2.75,3,2.62,2.88,2.88,2.62,2.5,2.25,2.12,2.5,2.75,2.88,2.88,3.12,3,1.38,0.5,1.75,1,3,2.75,2.75,3.12,1.62,0.75,3.5,3.25,3.25,2.88,3.38,3.5,3.62,3.75,3.75,3.75,3.12,3,3.25,3.12,3,2.88,3,2.88,3,2.75,1.88,1.12,1.75,1.25,2.25,2
Bus and Truck Mechanics and Diesel Engine Specialists,49-3031.00,2.88,2.88,3,3,2.62,2.75,3.12,3,2,2,1.75,1.25,3.25,3.38,2.75,2.88,2.75,2.62,3,3,2.75,2.75,2.88,2.88,2,2.25,2,2,2.12,2.75,2.12,2.12,3,3,1.88,1.12,1.88,0.88,3.12,3,2.12,1.88,1.88,1.12,3.5,3.25,3,3.12,3.38,3.38,4,3.75,4,3.88,3.25,3.25,3.12,3,2.88,2.5,2.75,2.38,3,2.88,1.88,0.88,1.88,0.88,2,2
Farm Equipment Mechanics and Service Technicians,49-3041.00,3.12,2.88,3.12,2.88,2.75,2.5,3.12,3,2.75,2.5,1.88,1.62,3.5,3.62,3,3,2.62,2.62,3,2.88,2.75,2.5,2.75,2.38,2.38,2.12,1.88,1.62,2.12,2.38,2.5,2,3.25,3,1.75,0.88,1.88,1,3.25,3,2.25,2.12,1.75,0.75,3.5,3.12,3.62,3.25,4,3.88,3.88,3.88,4,4.12,3.38,3.12,3.25,3,2.88,2.75,2.62,2.5,2.88,2.75,1.88,1.5,1.75,1.12,2.25,2
"Mobile Heavy Equipment Mechanics, Except Engines",49-3042.00,3.12,3.38,3,3.12,3,2.88,3,3,2.88,2.62,1.88,1.5,3.25,3.38,3,3,2.62,2.75,3,3.12,2.88,2.75,2.88,3.12,2.5,2.5,2.38,2.12,2.75,3,2.62,2.62,3.12,3.25,1.88,1.38,1.88,1.62,3.38,3.25,2.38,2.75,1.62,0.62,3.75,3.5,3.62,3.38,4,3.88,4.12,4,4.12,4,3.38,3.75,3.12,3.12,2.75,2.75,2.5,2.38,3,3,1.75,1.5,2.5,2.25,2.75,2.88
Rail Car Repairers,49-3043.00,2.88,2.75,3,3,2.88,2.75,3,2.38,2.12,2.12,1.75,1,3.25,3.38,2.75,2.75,2.62,2.25,2.88,2.75,2.75,2.25,2.88,2.62,2.25,2.12,2.12,2.12,2.5,2.25,2.38,2.12,2.75,2.62,1.75,1.12,1.88,1,2.75,2.38,2.62,2.5,1,0,3.25,3,3.12,3,3.75,3.25,4,3.75,4,4,3.25,3.25,2.88,2.75,2.62,2.25,2.62,2.38,2.88,3,1.75,0.88,1.88,1,2.5,2.25
Motorboat Mechanics and Service Technicians,49-3051.00,2.75,2.75,3.12,3,2.5,2.5,3,2.62,2.25,2,2,1.75,3.38,3.12,2.38,2.25,2,2,2.88,3,2.62,2.62,2.5,2.25,2,1.62,1.88,1.5,1.88,1.88,2.62,2.12,3.12,2.88,1.5,0.5,1.88,0.88,3.12,2.62,1.62,0.75,1.62,0.62,3.5,3.38,3.62,3.38,3.88,3.5,3.75,3.75,4,4,3.12,3,3.12,2.75,2.25,2.25,2.25,2.25,2.75,2.38,1.75,0.75,2,1.38,1.88,1.75
Motorcycle Mechanics,49-3052.00,3,3,3.12,3,2.75,2.88,3.12,3,2.25,2.12,1.88,1.25,3.12,3.12,3.12,3.12,2.62,2.25,3.12,3,2.75,2.62,3,3,2.5,2.5,2.12,2,2.62,2.62,2.88,3,3.12,3,2,1.38,1.88,1,3,2.25,2,1.62,1.25,0.25,3.12,3,3.12,3,3.5,3.38,3.88,3.88,3.88,3.75,3.12,3,3.12,3,2.38,2.25,2.25,2.25,3.12,3,1.38,0.62,1.88,1.25,2.12,1.88
Outdoor Power Equipment and Other Small Engine Mechanics,49-3053.00,2.88,2.62,3.12,2.75,2.62,2.5,2.88,2.5,2,2,1.75,1.12,3.25,3,2.75,2.75,2.5,2.12,2.88,2.75,2.75,2.38,2.75,2.88,2.12,2.12,2,1.62,2.12,2.25,2.38,2.5,3,2.75,1.5,0.5,1.75,0.75,3.25,2.75,1.75,0.75,1.38,0.38,3.38,3,3.25,3,3.88,3.62,3.75,3.62,3.88,3.62,3.12,3,2.88,2.75,2.25,2.12,2.38,2,2.75,2.62,1.75,1.12,2,1.12,1.88,1.75
Bicycle Repairers,49-3091.00,3,3,3.62,3,2.88,2.5,3.38,3,2.12,2,1.25,0.38,3.62,3.12,2.88,2.5,2.75,2.38,2.88,2.88,3.25,3.12,2.88,2.5,2.88,2.62,2.88,2.62,2.75,2.75,3.38,3,3,3,1.62,0.75,1.88,1.5,3.38,2.62,2.5,1.75,1.12,0.12,2.75,2.25,2.62,2,3.38,2.88,3.62,3,3.88,3.12,3.25,3.12,2.88,2.75,2.5,2.12,2.38,2.12,2.75,2.88,1.88,1.12,2,1.25,2.5,2.12
Recreational Vehicle Service Technicians,49-3092.00,3,2.88,3.38,3.25,2.88,2.75,3.38,3.12,2,1.75,1.62,0.88,3.38,3.5,3,3.12,2.38,2.38,3,3,2.88,2.75,3,3.12,2.62,2.62,2.62,2.5,2.75,2.62,2.88,2.88,3.25,2.88,1.75,1,1.88,1,3.12,2.62,1.62,0.88,1.5,0.5,3.12,2.88,3.12,2.88,3.12,3.12,3.5,3.5,3.88,3.88,3.12,3.12,3,2.88,2.75,2.38,2.75,2.5,3,2.75,1.62,0.62,1.75,0.75,2.12,1.75
Tire Repairers and Changers,49-3093.00,2.5,2,3,2.5,2.25,2.12,3,2.25,2,1.88,1,0,3,2.38,2.25,2,2.12,2.25,2.88,2.25,2.75,2.25,2.75,2.12,2.25,2,2.25,2.12,2.25,2.25,3,2.62,2.75,2.25,1,0,1.38,0.5,2.12,1.62,2,1,1,0,2.88,2.75,2.75,2.88,2.38,2,2.88,2.62,2.88,2.75,2.88,2.38,2.62,2.12,2,2,2,2,3,2.62,1.75,0.75,2.12,1.62,2.38,2.25
Mechanical Door Repairers,49-9011.00,3.12,2.88,3.12,3,2.75,2.88,3.12,3,2.5,2.5,1,0,3.5,3,3,2.25,2.62,2.12,3,3,3,2.88,3,2.88,2.88,2.75,2.62,2.25,3,2.62,3,2.88,3,2.88,1.88,1.12,2,1.5,2.75,2.5,3.12,2.75,1,0,3,2.88,2.75,2.75,2.75,2.88,2.88,3,3,2.75,3.25,3.25,2.88,2.62,2.12,2,2.25,2.12,2.88,2.88,1.88,1,1.88,1.5,2.88,2.25
"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012.00,3,3.12,3.12,2.88,3,2.88,3.12,3,2.12,1.5,1.75,1.12,3.38,3.12,2.88,3,2.5,2.38,3.12,3,2.88,2.75,3,3,2,1.75,2.12,1.88,2.25,2.38,2.5,2.38,3,3,1.62,0.75,1.88,0.88,2.88,2.5,2.38,2.12,1.62,0.75,3.12,3,3,3,3.12,3.25,3.12,3.12,3.25,3.25,3.12,3.25,3.12,3,2.25,2.12,2.12,2.12,2.75,2.5,1.88,0.88,1.75,0.88,2,1.5
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9021.00,3.38,3,3.25,2.88,2.88,2.62,3.12,2.62,2.5,2.75,1.75,1.25,3.5,3.62,3.12,3,2.75,2.88,3.12,3,3,2.75,3,3.12,2.75,2.62,2.38,2.38,2.88,2.75,2.88,2.88,3.25,3.25,1.62,1.12,1.75,1.25,3,3.25,3.38,3.88,1.62,0.75,3.62,3.75,3,3.25,3.12,3.25,3.5,3.5,3.38,3.75,3.25,3.25,3.12,3.38,3,3.12,3,3.25,2.88,2.75,1.75,1.62,2.25,2.25,2.88,2.88
Home Appliance Repairers,49-9031.00,3.12,2.88,3.38,3.12,2.75,2.75,3.5,3,2.12,2,1.75,1.25,3.75,3.25,2.88,2.25,2.12,2.12,2.88,2.88,2.75,2.75,2.75,2.75,2.75,2.12,2.25,2.12,2.25,2.5,3,2.88,3.12,3,1.88,1.62,1.88,1,3,2.88,3,2.38,1.62,0.62,3.5,3.25,2.88,3,3.62,3.12,3.62,3.62,3.88,3.88,3.5,3.62,3,3,2.62,2.12,2.25,2,3,3,2,1.25,2.12,1.75,2.5,2.12
Industrial Machinery Mechanics,49-9041.00,2.88,3,3.12,3,2.75,2.75,3,3,2.38,2.5,1.75,1.5,3.62,3.5,3.12,3.12,2.62,2.88,3.12,3.12,2.75,2.12,3,3,2.12,1.75,1.88,1.75,2.62,2.75,2.25,2.25,3.12,3,1.88,1.75,2,1.88,3.12,3.12,2.62,3,1.75,1.5,4,4,4,4,4,4.12,4,4,4,4,3.75,3.75,3.12,3,2.88,2.88,2.88,2.88,3,3,1.62,0.88,1.75,0.88,2.62,2.12
"Maintenance Workers, Machinery",49-9043.00,3,2.88,3,3,2.12,2.25,2.88,2.75,2.12,1.62,1.62,0.75,3,3,2.75,2.12,2.12,1.88,2.88,2.75,2.62,2.12,3,3,2.25,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.88,2.88,1.88,1.75,1.88,1.12,2.75,2.75,2.5,2.25,1.62,0.75,3.75,3.62,3.5,3.25,3.75,3.88,3.62,3.25,3.75,3.75,3,3.12,3,2.38,2.12,2.12,2.12,2,2.88,2.38,1.62,0.75,1.88,1,2.25,1.88
Millwrights,49-9044.00,3,3,3.25,3,2.75,2.88,3,3,2.62,2.75,1.5,0.62,3.62,3.12,2.88,3.12,3,2.88,3.12,3.12,3,2.88,3,3.5,3,2.88,3,2.75,3.12,3.12,3,2.88,3,3,1.75,1.12,2,1.75,3,2.5,3.75,3.38,1.62,0.62,3.88,3.88,3.38,3.5,3.75,3.88,3.62,3.88,3.62,3.88,3.38,3.38,3.12,3,2.5,2.75,2.62,2.88,3.38,3.25,2,1.62,2,1.62,2.88,2.62
"Refractory Materials Repairers, Except Brickmasons",49-9045.00,2.88,2.62,3,2.88,2.5,2.25,2.75,2.75,2,1.75,1,0,2.88,3,2.38,2.12,2.25,2.12,2.75,2.75,2.75,2.38,2.88,2.75,2,1.75,2,1.88,2.5,2.38,2.38,2,2.62,2.12,2,1.25,1.62,0.75,2.62,1.88,1.38,0.38,1,0,3.25,3.25,3,3,3,2.75,2.88,2.88,3.12,2.75,2.62,2.75,2.75,2.62,1.88,1.62,1.75,1.38,2.88,2.5,1.5,0.62,1.62,0.88,2.25,1.88
Electrical Power-Line Installers and Repairers,49-9051.00,3,3,3.38,3.25,2.5,2.75,2.88,2.88,2,1.88,1.75,1,3.12,3,3,3,2.75,2.75,3.25,3,2.75,2.62,3.12,3.25,2.62,2.75,2,2.12,2.5,2.62,2.62,2.5,3.12,3,1.88,1.62,1.88,1.12,2.62,2.12,3,2.38,1.25,0.25,3.25,3.25,3.25,3.25,3,3,3.38,3.38,3.12,3.25,3.12,3.12,3.12,3,3.12,3,2.88,3,3,2.88,1.5,0.38,1.62,0.62,2.88,3
Telecommunications Line Installers and Repairers,49-9052.00,2.88,3,3,3,2.62,2.88,3.12,2.75,2,1.75,1.75,1.12,3.12,3.12,2.75,2.62,2.25,2,3,2.88,2.88,2.88,3,3,2.25,2.25,2.12,2.12,2.12,2.12,2.75,2.88,3.12,3,1.88,1,1.88,0.88,2.25,2,2.38,1.88,1.62,0.62,3.12,3,3,3,3,2.75,3,3.12,2.88,2.75,2.88,3,3,3,2.38,2.38,2.25,2.38,2.88,2.75,1.75,0.75,1.75,0.75,2,1.88
Camera and Photographic Equipment Repairers,49-9061.00,3.12,3.5,3.12,3.12,2.62,3,3,3,2.38,2.5,2.12,1.88,3.5,3.38,3,3.12,2.62,2.25,2.88,2.88,2.75,2.5,2.25,2.25,2.12,2.12,2,2,1.62,0.88,2.38,2.25,3.12,3.12,1.88,1.75,2.12,2.25,3,3.12,1.88,1.38,1.75,1.25,3,3,2.12,1.75,3.38,3.62,3.88,3.62,3.75,3.88,3.38,3.38,3.12,3,2.12,2.12,2.12,2.12,3.12,3,2,1.75,2.25,1.88,2,1.62
Medical Equipment Repairers,49-9062.00,3.12,3.62,3,3,2.75,3,2.88,3,2.88,3,2.12,2,3.12,3.75,3,3,2.62,2.75,2.88,3,2.88,2.88,2.75,2.62,2.5,2.75,2.12,2.38,2.62,2.88,2.75,2.88,3,3,2,1.88,2.12,2,3,3,2.5,2.25,2,1.38,3.5,3.88,2.88,3,4,4,3.88,4,4.25,4,3.38,3.62,3,3,3,3,2.5,2.62,3,2.88,2,1.62,2,1.75,2.25,2.38
Musical Instrument Repairers and Tuners,49-9063.00,3,3,3.12,3,2.5,2.75,3.12,3,2,2,1.88,1.25,3.5,3.25,3,3,2.88,2.5,3,3,3,2.88,2.88,2.38,2.88,2.88,2.75,2.75,2.38,2.88,3.12,2.88,3.12,2.88,2.12,1.75,1.75,1.38,3,2.62,1.38,0.5,1.25,0.25,3.12,3,2.75,2.5,3,2.88,3.75,3.12,3.88,3.12,3.62,3.5,3.38,3,2.75,2.75,2.75,2.75,3.25,3.12,2,1.88,2.38,2.12,2.38,2.25
Watch and Clock Repairers,49-9064.00,2.88,2.88,3,3,2.25,2.25,3,2.75,2,2,1.75,1.25,3.12,3,2.25,2.25,2,1.62,2.62,2.25,2.75,2.5,2.25,2.12,2.12,2.12,2.25,1.62,2,1.62,2.75,2.75,2.88,2.88,2,1,1.88,1.12,2.62,2.25,1.5,0.62,1,0,3.12,2.5,2.75,2.12,3,3.12,3,3.12,3.88,3.5,3,3,3,3,2,1.88,2.12,2,2.38,2.25,2.12,1.5,2.25,1.5,2,1.88
"Maintenance and Repair Workers, General",49-9071.00,3,3.12,3,3,2.88,2.88,3,3,2.38,2.25,1.88,1.12,3.25,3.12,3.12,3.12,2.25,2.38,3.12,3.12,2.75,2.62,3,3,2.25,2.25,2.38,2.38,2.38,2.38,2.38,2.25,3.12,3,2.12,2.12,2.12,1.88,3,3,3,3.12,1.38,0.5,3.12,3.12,3.12,3.12,3.88,3.88,3.75,3.75,3.88,3.88,3.12,3.25,3,2.88,2.5,2.25,2.25,2.25,3,2.88,2.12,1.25,2.25,1.5,2.38,2.25
Wind Turbine Service Technicians,49-9081.00,3.25,3.25,3.12,3.12,2.88,2.75,3.12,3,2.12,2.75,2,2,3.5,3.12,3.12,3.12,3,3,3.25,3.12,2.75,2.75,3,3.25,2,1.75,2.12,1.88,3,2.88,2.25,2.12,3.25,3,1.62,1,1.75,1.5,3,2.88,1.88,1.12,1.62,0.62,4,3.25,3.12,3.12,4,3.75,4,4,4,3.88,3.25,3.12,3.12,3,3.12,3.12,3.12,3,3,2.88,1.62,1,2.25,2.25,2.62,2.5
"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091.00,2.88,2.88,2.88,2.88,2.62,2.5,2.88,2.62,2,2,1.62,0.62,2.88,2.88,2.62,2.12,1.88,1.75,2.88,3,2.62,2.5,2.62,2.62,2,1.75,1.88,1.5,1.88,1.62,2.88,2.62,2.88,2.75,1.5,0.5,1,0,2.5,2.12,2.12,1.62,1.38,0.38,3,3,3,3,3.38,3,3.25,3,3.5,3,3,2.88,2.88,2.62,2.88,2.75,2.75,2.25,2.88,2.75,1.88,1.25,2,1.25,2,1.62
Commercial Divers,49-9092.00,3.25,3.5,3.75,3.62,3,3,3.62,3.38,2.12,2.12,2.5,2.25,3.88,3.75,3,3.12,2.88,3,3.12,3.25,3,3,3.25,3.12,2.88,2.62,3,2.62,3.12,3.12,2.75,2.38,3.25,3.12,1.88,1.75,1.75,0.88,3,2.88,2.5,2.38,1,0,3.75,3.62,3.38,3.12,3.25,3,3.25,3.12,3.25,3.25,3.5,3.25,3.25,3.25,2.88,2.75,2.62,2.5,3.38,3.12,1.62,0.88,2,1.38,2.75,3
Locksmiths and Safe Repairers,49-9094.00,3,3,3.12,3,2.62,2.38,3.12,3,2.5,2.12,1,0,3.12,3.12,2.88,2.88,2.25,2.25,2.75,2.75,2.75,2.5,2.75,2.62,2.5,2.25,2.25,2.12,2.38,2.12,2.88,2.25,2.88,2.88,1.12,0.25,1.88,1.25,2.62,2.12,2.5,2,1.62,0.75,3.12,2.38,3.12,3,3.12,3,3,3,3.5,3.12,3.12,3,2.88,2.75,2.25,2.25,2,2.12,3.25,2.88,2,1.25,2.12,1.38,2.25,2.12
Manufactured Building and Mobile Home Installers,49-9095.00,3.12,3.12,3.38,2.88,2.62,2.88,3.38,2.88,2.62,2.88,1.62,0.88,3.75,3.25,3.38,3,3.38,3.12,3.5,3.38,3,2.75,3.5,3.62,3,3,3.12,2.75,3.25,3.12,3.12,2.75,3.38,3.25,2.25,2,2,1.5,2.88,2.62,2.62,2.38,1,0,3.62,3.12,3.75,3.25,2.62,2.62,3.25,3.25,3.12,3.38,3.75,3.62,3.5,3,2.75,2.62,2.62,2.88,3.38,3.12,2.25,2.12,2.62,2.38,3.38,3.12
Riggers,49-9096.00,3.12,2.38,3.12,3,2.38,2.38,3,2.75,1.62,1,1.38,0.5,3.12,3,2.62,2.25,1.62,1.12,3.12,3.12,2.75,2.5,3.12,3.12,2.25,2.12,2.12,2.12,2.12,2.12,2.38,2.25,3,3,2.12,2.12,1.5,0.62,2.88,2.75,2,1.75,1,0,3.12,3.12,3.25,3.25,2.75,2.5,2.88,2.88,2.75,2.62,2.88,3,3,3,2.12,2.12,2.12,2.12,3,2.88,1.38,0.38,1.38,0.38,2.5,2.88
Signal and Track Switch Repairers,49-9097.00,2.88,2.88,3,3,2.88,3,2.88,2.5,2.5,2.25,1.75,0.88,3.75,3.38,2.88,3,2.62,2.75,2.88,3.12,2.75,2.12,2.75,2.75,2.12,2.12,2.25,2.12,2.62,2.75,2.12,2.12,3.38,3,1.12,0.25,1.5,0.62,3.62,2.75,2.88,2.62,2,0.88,3.75,3.75,3.12,3,4,3.88,4.12,4,4,3.88,3.88,3.88,3,2.88,2.38,2.25,2.38,2.25,3,3,1.62,0.75,1.75,0.88,2,2.12
"Helpers--Installation, Maintenance, and Repair Workers",49-9098.00,2.62,2.12,3.12,2.75,2.12,2,3,2.38,2,1.62,1.12,0.12,3.12,2.75,2.62,2.5,2.5,2.12,3.12,2.62,2.62,2,3,2.88,1.88,1.75,1.88,1.5,2.12,2,2.38,2,2.62,2.12,1.62,0.75,1.62,0.62,2.75,2.38,2.38,2.25,1.38,0.38,3.12,3,3.12,3,3.12,3.25,3.12,3.12,3.12,3.25,3,3,2.88,2.62,2.12,2.12,2.12,1.88,2.75,2.5,1.25,0.38,1.5,0.62,1.88,1.5
Geothermal Technicians,49-9099.01,3.25,3.12,3,3,3,3,3,3,2.75,3.12,2.12,2,3.25,3.12,3.12,3,2.12,2.25,3.75,3.62,2.88,2.25,3,3.12,2.25,2.25,2.38,2.12,2.62,2.62,2.88,2.38,3.12,2.88,2,1.62,1.88,1.5,2.88,2.88,3,3.12,1.88,1.12,3.88,4,3.38,3.75,3.12,3.25,3.62,3.75,3.12,3.62,3.25,3.25,3.12,3,3,3,2.88,3,2.88,3,2,1.38,2,1.75,2.62,2.25
First-Line Supervisors of Production and Operating Workers,51-1011.00,3.5,3.75,3.88,4,3.12,3.62,3.88,3.75,2.38,2.88,1.5,0.62,3.75,3.75,3.12,3.12,3.12,3.12,3.75,3.88,3.75,3.88,3.75,3.88,3,3.12,3,3.12,3,3.12,3,2.88,3.12,3.62,2.88,2.75,2,1.25,2.25,2.25,1.12,0.12,1.25,0.38,3.12,3.38,2.75,2.75,2.12,2.12,2.25,2.5,2.25,2.12,3,3.12,3.62,3.25,3.12,3,3,3,3.88,3.88,2.25,2.62,2.12,2.62,3.88,3.75
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011.00,3,3.12,3.12,3.12,2.75,3,3,3,2.5,2.75,1.75,1.5,3.12,3.12,2.88,3,2.62,2.88,3.12,3.12,2.75,2.25,2.88,2.88,2.25,2.25,2.25,2.25,2.88,2.88,2.38,2.38,3,2.88,1.88,1.38,2,1.88,2.88,2.88,2.88,3,1.5,1,2.88,3,2.88,2.88,3,3,2.88,2.88,2.88,3.12,3.38,3.75,3,3,2.88,2.88,2.88,2.62,3,3,2,1.38,2.12,1.62,2.25,2.38
